Name,country,gender,Flights,total_flights,total_time
Leonid Kizim,Soviet Union,Man,"Soyuz T-3 (1980), Soyuz T-10 (1984), Soyuz T-15 (1986)",3,539638
Leonid Kadeniuk,Ukraine,Man,STS-87 (1997),1,22594
Konstantin Kozeyev,Russia,Man,Soyuz TM-33 (2001),1,14160
Konstantin Feoktistov,Soviet Union,Man,Voskhod 1 (1964),1,1457
Koichi Wakata,Japan,Man,"STS-72 (1996), STS-92 (2000), STS-119 (2009), Soyuz TMA-11M (2013)",4,500192
Klaus-Dietrich Flade,Germany,Man,Soyuz TM-13 (1991),1,252171
Kimiya Yui,Japan,Man,Soyuz TMA-17M (2015),1,204009
Jügderdemidiin Gürragchaa,Mongolia,Man,Soyuz 39 (1981),1,11322
Julie Payette,Canada,Woman,"STS-96 (1999), STS-127 (2009)",2,36478
Jing Haipeng,China,Man,"Shenzhou 7 (2008), Shenzhou 9 (2012), Shenzhou 11 (2016)",3,68779
"Jean-Pierre Haigneré, EAC",France,Man,"Soyuz TM-17 (1993), Soyuz TM-29 (1999)",2,301705
Jean-Loup Chrétien,France,Man,"Soyuz T-6 (1982), Soyuz TM-7 (1988), STS-86 (1997)",3,64038
Jean-Jacques Favier,France,Man,STS-78 (1996),1,24348
"Jean-François Clervoy, EAC",France,Man,"STS-66 (1994), STS-84 (1997), STS-103 (1999)",3,41885
Ivan Vagner,Russia,Man,Soyuz MS-16 (2020),1,281929
Ivan Bella,Slovakia,Man,Soyuz TM-29 (1999),1,11396
Ilan Ramon,Israel,Man,STS-107 (2003),1,22940
Igor Volk,Soviet Union,Man,Soyuz T-12 (1984),1,16994
Helen Sharman,United Kingdom,Woman,Soyuz TM-12 (1991),1,11353
Hazza Al Mansouri,United Arab Emirates,Man,Soyuz MS-15 (2019),1,11341
Hans Schlegel,Germany,Man,"STS-55 (1993), STS-122 (2008)",2,32762
Guy Laliberté,Canada,Man,Soyuz TMA-16 (2009),1,15677
Gherman Titov,Soviet Union,Man,Vostok 2 (1961),1,1518
Gerhard Thiele,Germany,Man,STS-99 (2000),1,16180
Georgi Shonin,Soviet Union,Man,Soyuz 6 (1969),1,7122
Georgi Ivanov,Bulgaria,Man,Soyuz 33 (1979),1,2821
Georgi Grechko,Soviet Union,Man,"Soyuz 17 (1975), Soyuz 26 (1977), Soyuz T-14 (1985)",3,194192
Georgi Dobrovolski,Soviet Union,Man,Soyuz 11 (1971),1,34401
Georgi Beregovoi,Soviet Union,Man,Soyuz 3 (1968),1,5690
Gennady Strekalov,Soviet Union,Man,"Soyuz T-3 (1980), Soyuz T-8 (1983), Soyuz T-11 (1984), Soyuz TM-10 (1990), Soyuz TM-21 (1995)",5,387266
Gennady Padalka,Russia,Man,"Soyuz TM-28 (1998), Soyuz TMA-4 (2004), Soyuz TMA-14 (2009), Soyuz TMA-04M (2012), Soyuz TMA-16M (2015)",5,1265009
Gennadi Sarafanov,Soviet Union,Man,Soyuz 15 (1974),1,2892
Gennadi Manakov,Russia,Man,"Soyuz TM-10 (1990), Soyuz TM-16 (1993)",2,446239
Fyodor Yurchikhin,Russia,Man,"STS-112 (2002), Soyuz TMA-10 (2007), Soyuz TMA-19 (2010), Soyuz TMA-09M (2013), Soyuz MS-04 (2017)",5,968920
Franz Viehböck,Austria,Man,Soyuz TM-13 (1991),1,11412
Frank De Winne,Belgium,Man,"Soyuz TMA-1 (2002), Soyuz TMA-15 (2009)",2,286175
Franco Malerba,Italy,Man,STS-46 (1992),1,11475
Fei Junlong,China,Man,Shenzhou 6 (2005),1,6932
Evgeny Tarelkin,Russia,Man,Soyuz TMA-06M (2012),1,206899
Ernst Messerschmid,Germany,Man,STS-61-A (1985),1,10124
Dumitru Prunariu,Romania,Man,Soyuz 40 (1981),1,11321
Dmitri Kondratyev,Russia,Man,Soyuz TMA-20 (2010),1,229398
Dirk Frimout,Belgium,Man,STS-45 (1992),1,12849
David Saint-Jacques,Canada,Man,Soyuz MS-11 (2018),1,293236
"Dafydd Williams, M.D.",Canada,Man,"STS-90 (1998), STS-118 (2007)",2,41266
"Claudie Haigneré, EAC",France,Woman,"Soyuz TM-24 (1996), Soyuz TM-33 (2001)",2,36864
Claude Nicollier,Switzerland,Man,"STS-46 (1992), STS-61 (1993), STS-75 (1996), STS-103 (1999)",4,62645
Christer Fuglesang,Sweden,Man,"STS-116 (2006), STS-128 (2009)",2,38498
Chris Hadfield,Canada,Man,"STS-74 (1995), STS-100 (2001), Soyuz TMA-07M (2012)",3,238580
"Chiaki Mukai, M.D.",Japan,Woman,"STS-65 (1994), STS-95 (1998)",2,34059
Chen Dong,China,Man,Shenzhou 11 (2016),1,46469
Charles Simonyi,Hungary,Man,"Soyuz TMA-10 (2007), Soyuz TMA-14 (2009)",2,38306
